Pick #,MLS team,Player,Position,Affiliation
20,Toronto FC,Ashton Bennett,Forward,Coastal Carolina
21,Chivas USA,Joe Franco,Defender,CSU Northridge Los Angeles Misioneros
22,Portland Timbers,Chris Hegngi,Midfielder,Ohio State
23,New England Revolution,Chris Thomas,Forward,Elon
24,Philadelphia Union,Mark Linnville,Defender,Princeton
25,Colorado Rapids,Brenton Griffiths,Defender,South Florida
26,FC Dallas,Kyle Zobeck,Goalkeeper,Valparaiso Des Moines Menace
27,Montreal Impact,Jordan LeBlanc,Midfielder,Old Dominion Virginia Beach Piranhas
28,Columbus Crew,Daniel Withrow,Goalkeeper,Marshall
29,Vancouver Whitecaps FC,Brian Rogers,Forward,Harvard
30,Chicago Fire,John Gallagher,Defender,Penn State
31,Vancouver Whitecaps FC,Adam Clement,Defender,Duquesne
32,New York Red Bulls,Ben Fisk,Midfielder,Washington Washington Crossfire
33,Sporting Kansas City,Mitchell Cardenas,Midfielder,Campbell
34,New York Red Bulls,Marc Cintron,Midfielder,Providence
35,Seattle Sounders FC,Kevin Olali,Midfielder,South Florida
36,D.C. United,Evan Raynr,Midfielder,UCLA Pali Blues
37,Colorado Rapids,Stefano Pinho,Midfielder,Fluminense
38,Toronto FC,Jose Gomez,Midfielder,Creighton
