No,Peak,Country,Elev,Prom,Col
1,Daxue Mountain,China,"3,500","2,041",1459
2,Myinmoletkat Taung,Burma,"2,072","1,857",215
3,Doi Inthanon,Thailand,"2,565","1,850",730
4,Loi Leng,Burma,"2,673","1,823",850
5,Phnom Aural,Cambodia,"1,810","1,741",215
6,Nattaung,Burma,"2,623","1,726",897
7,Hunhua Shan,China,"3,420","1,718",1702
8,Mela Taung,Burma,"2,080","1,707",373
9,Phu Soi Dao,Thailand / Laos,"2,120","1,664",456
10,Phou Khe,Thailand / Laos,"2,079","1,646",433
11,Mong Ling Shan,Burma,"2,641","1,625",1016
12,Loi Pangnao,Burma,"2,563","1,596",967
13,Point 2519,Burma,"2,519","1,589",930
14,Phnom Samkos,Cambodia,"1,750","1,571",179
15,Point 2995,China,"2,995","1,544",1451
