Institution,Nickname,Location ( Quebec )
Cégep de l'Abitibi-Témiscamingue,Gaillards ( mens ) Astrelles ( womens ),Rouyn-Noranda
Collège Ahuntsic,Indiens,Montreal
Collège d'Alma,Jeannois,Alma
Collège André-Grasset,Phénix,Montreal
Cégep André-Laurendeau,Boomerang,Montreal
Cégep de Baie-Comeau,Trappeurs,Baie-Comeau
Cégep Beauce-Appalaches,Condors,Saint-Georges
Collège de Bois-de-Boulogne,Cavaliers,Montreal
Centre d'études collégiales Matapédien,Alizé,Amqui
Centre d'études collégiales de Montmagny,Combattants,Montmagny
Champlain College Lennoxville,Cougars,Lennoxville
Champlain College Saint-Lambert,Cavaliers,Saint-Lambert
Champlain College St. Lawrence,Lions,Quebec City
Cégep de Chicoutimi,Couguars,Saguenay
Cégep de Drummondville,Voltigeurs,Drummondville
Collège Édouard-Montpetit,Lynx,Longueuil
Cégep François-Xavier-Garneau,Élans,Quebec City
Cégep de la Gaspésie et des Îles,Bleu Marin,Gaspé
Collège Gérald-Godin,Gladiateurs,Montreal
Cégep de Granby Haute-Yamaska,Inouk,Granby
