Code,Num,E,Currency,Locations using this currency
AED,784,2,United Arab Emirates dirham,United Arab Emirates
AFN,971,2,Afghan afghani,Afghanistan
ALL,008,2,Albanian lek,Albania
AMD,051,2,Armenian dram,Armenia
ANG,532,2,Netherlands Antillean guilder,"Curaçao ( CW ) , Sint Maarten ( SX )"
AOA,973,2,Angolan kwanza,Angola
ARS,032,2,Argentine peso,Argentina
AUD,036,2,Australian dollar,"Australia , Christmas Island ( CX ) , Cocos ( Keeling ) Islands ( CC ) , Heard Island and McDonald Islands ( HM ) , Kiribati ( KI ) , Nauru ( NR ) , Norfolk Island ( NF ) , Tuvalu ( TV )"
AWG,533,2,Aruban florin,Aruba
AZN,944,2,Azerbaijani manat,Azerbaijan
BAM,977,2,Bosnia and Herzegovina convertible mark,Bosnia and Herzegovina
BBD,052,2,Barbados dollar,Barbados
BDT,050,2,Bangladeshi taka,Bangladesh
BGN,975,2,Bulgarian lev,Bulgaria
BHD,048,3,Bahraini dinar,Bahrain
BIF,108,0,Burundian franc,Burundi
BMD,060,2,Bermudian dollar,Bermuda
BND,096,2,Brunei dollar,Brunei
BOB,068,2,Boliviano,Bolivia
BOV,984,2,Bolivian Mvdol ( funds code ),Bolivia
