City,Winners,Runners-up,Winning clubs
Seville,5,0,Sevilla ( 5 )
Madrid,5,0,"Atlético Madrid ( 3 ) , Real Madrid ( 2 )"
London,4,4,"Tottenham Hotspur ( 2 ) , Chelsea ( 2 )"
Turin,3,2,Juventus ( 3 )
Milan,3,1,Inter Milan ( 3 )
Liverpool,3,1,Liverpool ( 3 )
Mönchengladbach,2,2,Borussia Mönchengladbach ( 2 )
Gothenburg,2,0,IFK Göteborg ( 2 )
Parma,2,0,Parma ( 2 )
Rotterdam,2,0,Feyenoord ( 2 )
Porto,2,0,Porto ( 2 )
Brussels,1,1,Anderlecht ( 1 )
Amsterdam,1,1,Ajax ( 1 )
Eindhoven,1,0,PSV Eindhoven ( 1 )
Frankfurt,1,0,Eintracht Frankfurt ( 1 )
Ipswich,1,0,Ipswich Town ( 1 )
Leverkusen,1,0,Bayer Leverkusen ( 1 )
Naples,1,0,Napoli ( 1 )
Munich,1,0,Bayern Munich ( 1 )
Gelsenkirchen,1,0,Schalke 04 ( 1 )
