Country,Referee,Assistant referees,Additional assistant referees,Matches assigned
England,Martin Atkinson,Michael Mullarkey Stephen Child Gary Beswick ( standby ),Michael Oliver Craig Pawson,Germany-Ukraine ( Group C ) Hungary-Portugal ( Group F ) Wales-Northern Ireland ( Round of 16 )
Germany,Felix Brych,Mark Borsch Stefan Lupp Marco Achmüller ( standby ),Bastian Dankert Marco Fritz,England-Wales ( Group B ) Sweden-Belgium ( Group E ) Poland-Portugal ( Quarter-finals )
Turkey,Cüneyt Çakır,Bahattin Duran Tarık Ongun Mustafa Emre Eyisoy ( standby ),Hüseyin Göçek Barış Şimşek,Portugal-Iceland ( Group F ) Belgium-Republic of Ireland ( Group E ) Italy-Spain ( Round of 16 )
England,Mark Clattenburg,Simon Beck Jake Collin Stuart Burt ( standby ),Anthony Taylor Andre Marriner,Belgium-Italy ( Group E ) Czech Republic-Croatia ( Group D ) Switzerland-Poland ( Round of 16 ) Portugal-France ( Final )
Scotland,Willie Collum,Damien MacGraith Francis Connor Douglas Ross ( standby ),Bobby Madden John Beaton,France-Albania ( Group A ) Czech Republic-Turkey ( Group D )
Sweden,Jonas Eriksson,Mathias Klasenius Daniel Wärnmark Mehmet Culum ( standby ),Stefan Johannesson Markus Strömbergsson,Turkey-Croatia ( Group D ) Russia-Wales ( Group B ) Portugal-Wales ( Semi-finals )
Romania,Ovidiu Hațegan,Octavian Șovre Sebastian Gheorghe Radu Ghinguleac ( standby ),Alexandru Tudor Sebastian Colțescu,Poland-Northern Ireland ( Group C ) Italy-Republic of Ireland ( Group E )
Russia,Sergei Karasev,Anton Averyanov Tikhon Kalugin Nikolai Golubev,Sergey Lapochkin Sergey Ivanov,Romania-Switzerland ( Group A ) Iceland-Hungary ( Group F )
Hungary,Viktor Kassai,György Ring Vencel Tóth István Albert ( standby ),Tamás Bognár Ádám Farkas,France-Romania ( Group A ) Italy-Sweden ( Group E ) Germany-Italy ( Quarter-finals )
Czech Republic,Pavel Královec,Roman Slyško Martin Wilczek Tomáš Mokrusch,Petr Ardeleánu Michal Paták,Ukraine-Northern Ireland ( Group C ) Romania-Albania ( Group A )
Netherlands,Björn Kuipers,Sander van Roekel Erwin Zeinstra Mario Diks ( standby ),Pol van Boekel Richard Liesveld,Germany-Poland ( Group C ) Croatia-Spain ( Group D ) France-Iceland ( Quarter-finals )
Poland,Szymon Marciniak,Paweł Sokolnicki Tomasz Listkiewicz Radosław Siejka ( standby ),Paweł Raczkowski Tomasz Musiał,Spain-Czech Republic ( Group D ) Iceland-Austria ( Group F ) Germany-Slovakia ( Round of 16 )
Serbia,Milorad Mažić,Milovan Ristić Dalibor Đurđević Nemanja Petrović ( standby ),Danilo Grujić Nenad Đokić,Republic of Ireland-Sweden ( Group E ) Spain-Turkey ( Group D ) Hungary-Belgium ( Round of 16 )
Norway,Svein Oddvar Moen,Kim Thomas Haglund Frank Andås Sven Erik Midthjell ( standby ),Ken Henry Johnsen Svein-Erik Edvartsen,Wales-Slovakia ( Group B ) Ukraine-Poland ( Group C )
Italy,Nicola Rizzoli,Elenito Di Liberatore Mauro Tonolini Gianluca Cariolato ( standby ),Luca Banti Antonio Damato Daniele Orsato,England-Russia ( Group B ) Portugal-Austria ( Group F ) France-Republic of Ireland ( Round of 16 ) Germany-France ( Semi-finals )
Slovenia,Damir Skomina,Jure Praprotnik Robert Vukan Bojan Ul ( standby ),Matej Jug Slavko Vinčić,Russia-Slovakia ( Group B ) Switzerland-France ( Group A ) England-Iceland ( Round of 16 ) Wales-Belgium ( Quarter-finals )
France,Clément Turpin,Frédéric Cano Nicolas Danos Cyril Gringore ( standby ),Benoît Bastien Fredy Fautrel,Austria-Hungary ( Group F ) Northern Ireland-Germany ( Group C )
Spain,Carlos Velasco Carballo,Roberto Alonso Fernández Juan Carlos Yuste Jiménez Raúl Cabañero Martínez ( standby ),Jesús Gil Manzano Carlos del Cerro Grande,Albania-Switzerland ( Group A ) Slovakia-England ( Group B ) Croatia-Portugal ( Round of 16 )
