Building,Location,First Built,Use,Notes
Theopetra cave,Greece,21000 BC,Stone wall,"The oldest known human-made structure . The structure is a stone wall that blocked two-thirds of the entrance to the Theopetra cave near Kalambaka on the north edge of the Thessalian plain . It was constructed 23,000 years ago , probably as a barrier to cold winds"
Tell Qaramel,Syria,11000-9670 BC,Towers/Village,The oldest known tower structure
Göbekli Tepe,Turkey,9500-8400 BC,Ceremonial,The oldest known human-made religious structure
Tower of Jericho,Palestinian territories,8000 BC,Defensive/agricultural,See also Wall of Jericho
Çatalhöyük,Turkey,7400-6200 BC,Village ruins,
Khirokitia,Cyprus,5800-3000 BC,Houses,Site has reconstructions of round houses
Durankulak,Bulgaria,5500-5000 BC,Neolithic settlement,"The excavations of the Paleolithic and Neolithic settlement on the Big Island in Bulgaria 's Durankulak Lake first started in 1974 . They discovered Paleolithic finds dating back to around 10,000 BC ; and a Neolithic settlement dating back to between 5500-5400 BC and 5100-5000 BC . The settlement , which created what is said to be Europe 's first stone city"
Perperikon,Bulgaria,5000 BC,Ancient architectural complex,"Perperikon is the largest megalith ensemble in the Balkans . Human activity in the area dates back to 5000 B.C . The first traces of civilization on the hill date from the Bronze Age , while the ceramics found on the place date from the Early Iron Age , as well as the impressive round altar , almost 2 m in diameter , hewn out of the rocks . At Perperikon , a twelve days ' journey from the sea , Medokos called himself king of Thrace after Sitalces 's death in 424 BC , but failed to hold a throne"
Les Fouaillages,Guernsey,4500 BC,Tomb,"Burial mound and associated building , in use from 4500-4000 and 3000-2000 BC . Findings include pottery sherds , stone tools , jewelry , flint , and arrowheads . Originally covered by a turf mound 35m long"
Tumulus de Dissignac,France,4500-4000 BC,Tumulus,Two Dolmenic chambers are covered by 15 metre diameter tumulus with corridors 11 metres in length . Substantially rebuilt
Table des Marchand,France,4000 BC,Dolmen,A modern cairn has been rebuilt over the capstone and supporting pillars
Temple of Ba ` alat Gebal,Lebanon,c. 2700 BC,Temple,"Located in the Phoenician city of Byblos , the nearby Temple of the Obelisks dates to c.1900-1600 BC"
Pyramid of Sekhemkhet aka the Buried Pyramid,Egypt,c. 2630 BC,Burial,An unfinished Third Dynasty structure largely hidden under sand . Only the lowest step of the pyramid was constructed at the time of his death
Great Sphinx of Giza,Egypt,2558-2532 BC,Statue,"The largest monolith statue in the world , possibly completed during the reign of Khafra , although the subject is controversial"
King David 's Palace,Israel,1000 BC,Palace,Most Likely the ruins of King David 's palace
