Year,Player,Team,League,Shutouts
1876,George Bradley,St. Louis Brown Stockings,NL,16
1916,Pete Alexander ( 2 ),Philadelphia Phillies,NL,16
1968,Bob Gibson,St. Louis Cardinals,NL,13
1910,Jack Coombs,Philadelphia Athletics,AL,13
1886,Ed Morris,Pittsburgh Alleghenys,AA,12
1915,Pete Alexander,Philadelphia Phillies,NL,12
1884,Pud Galvin,Buffalo Bisons,NL,12
1908,Christy Mathewson,New York Giants,NL,11
1886,Dave Foutz,Baltimore Orioles,AA,11
1964,Dean Chance,Los Angeles Angels,AL,11
1908,Ed Walsh ( 2 ),Chicago White Sox,AL,11
1884,Charles Radbourn,Providence Grays,NL,11
1963,Sandy Koufax,Los Angeles Dodgers,NL,11
1879,Tommy Bond,Boston Red Caps,NL,11
1913,Walter Johnson,Washington Senators,AL,11
1946,Bob Feller,Cleveland Indians,AL,10
1948,Bob Lemon,Cleveland Indians,AL,10
1933,Carl Hubbell,San Francisco Giants,NL,10
1904,Cy Young,Boston Americans,AL,10
1915,Dave Davenport,St. Louis Terriers,FL,10
