Sr.No,Serial/Track,Channel
1,Raja Shivchatrapati,Star Pravah
2,Zee Gaurav Geet,Zee Marathi
3,Eka Peksha Ek,Zee Marathi
4,Lakh Lakh Chanderi,Zee Talkies
5,Idea Sa Re Ga Ma Pa,Zee Marathi
6,Hafta Band,Zee Marathi
7,Hasyasamraat,Zee Marathi
8,Cricket Club,Zee Marathi
9,Bhavanjali,Mi Marathi
10,Kya Baat Hai,ETV Marathi
11,Misha,Zee Marathi
12,Amchya Sarkhe Amhich,Zee Marathi
13,Bola Bola Tring Tring,DD Sahyadri
14,Shriyut Gagadhar Tipre,Zee Marathi
15,Wadalvaat,Zee Marathi
16,Bedhund Manachya Lahari,ETV Marathi
17,Mahabharat,Star Plus
18,Sony Entertainment Television,Sony Channel
19,Sony Marathi theme song,Sony Marathi
20,Kaun banega Crorepati 11 theme,Sony Channel
