Player,Team,Winning bid,Base price
Gautam Gambhir,Kolkata Knight Riders,"$ 2,400,000","$ 200,000"
Yusuf Pathan,Kolkata Knight Riders,"$ 2,100,000","$ 300,000"
Robin Uthappa,Pune Warriors India,"$ 2,100,000","$ 200,000"
Rohit Sharma,Mumbai Indians,"$ 2,000,000","$ 200,000"
Irfan Pathan,Delhi Daredevils,"$ 1,900,000","$ 200,000"
Yuvraj Singh,Pune Warriors India,"$ 1,800,000","$ 400,000"
Saurabh Tiwary,Royal Challengers Bangalore,"$ 1,600,000","$ 100,000"
Mahela Jayawardene,Kochi Tuskers Kerala,"$ 1,500,000","$ 400,000"
David Hussey,Kings XI Punjab,"$ 1,400,000","$ 200,000"
Dale Steyn,Deccan Chargers,"$ 1,200,000","$ 200,000"
Muttiah Muralitharan,Kochi Tuskers Kerala,"$ 1,100,000","$ 300,000"
Cameron White,Deccan Chargers,"$ 1,100,000","$ 300,000"
Jacques Kallis,Kolkata Knight Riders,"$ 1,100,000","$ 300,000"
AB de Villiers,Royal Challengers Bangalore,"$ 1,100,000","$ 400,000"
Ross Taylor,Rajasthan Royals,"$ 1,000,000","$ 400,000"
Angelo Mathews,Pune Warriors India,"$ 950,000","$ 200,000"
Ravindra Jadeja,Kochi Tuskers Kerala,"$ 950,000","$ 100,000"
Johan Botha,Rajasthan Royals,"$ 950,000","$ 200,000"
Dinesh Karthik,Kings XI Punjab,"$ 900,000","$ 200,000"
Piyush Chawla,Kings XI Punjab,"$ 900,000","$ 100,000"
