#,Name,States,Year
1,Nilgiri Biosphere Reserve,"Tamil Nadu , Kerala and Karnataka",2000
2,Gulf of Mannar Biosphere Reserve,Tamil Nadu,2001
3,Sundarbans Biosphere Reserve,West Bengal,2001
4,Nanda Devi Biosphere Reserve,Uttarakhand,2004
5,Nokrek Biosphere Reserve,Meghalaya,2009
6,Pachmarhi Biosphere Reserve,Madhya Pradesh,2009
7,Simlipal Biosphere Reserve,Odisha,2009
8,Great Nicobar Biosphere Reserve,Great Nicobar,2013
9,Achanakmar-Amarkantak Biosphere Reserve,"Chhattisgarh , Madhya Pradesh",2012
10,Agasthyamalai Biosphere Reserve,Kerala and Tamil Nadu,2016
11,Khangchendzonga National Park,Sikkim,2018
