Date,Co-Hosts,Guests/Segments
December 3,Regis Philbin & Kelly Ripa,"Keira Knightley , Masi Oka , High-Tech Gift Week"
December 4,Regis Philbin & Kelly Ripa,"Mario Lopez , Ben Affleck , High-Tech Gift Week"
December 5,Regis Philbin & Kelly Ripa,"Jennifer Jason Leigh , Laura Linney , High-Tech Gift Week"
December 6,Regis Philbin & Kelly Ripa,"Megan Mullally , Rob Morrow , High-Tech Gift Week"
December 7,Kelly Ripa & Ted McGinley,"Holly Hunter , Blake Lewis , High-Tech Gift Week"
December 10,Regis Philbin & Kelly Ripa,"Jason Lee , Jim Cramer , Josh Groban"
December 11,Regis Philbin & Kelly Ripa,"Jon Voight , Lucas Grabeel , Mannheim Steamroller"
December 12,Regis Philbin & Kelly Ripa,"Will Smith , Rick Springfield"
December 13,Regis Philbin & Kelly Ripa,"Hilary Swank , America 's Next Top Model , Darlene Love"
December 14,Kelly Ripa & Anderson Cooper,"Nicolas Cage , Michael Bolton"
December 17,Regis Philbin & Kelly Ripa,"Nick Lachey , winner of Survivor : China , Holiday Survival Week"
December 18,Regis Philbin & Kelly Ripa,"Helen Mirren , Jenna Fischer , Holiday Survival Week"
December 19,Regis Philbin & Kelly Ripa,"Tom Hanks , Holiday Survival Week"
December 20,Regis Philbin & Kelly Ripa,"John C. Reilly , Emile Hirsch , Holiday Survival Week"
December 21,Regis Philbin & Kelly Ripa,"Denzel Washington , Charles Grodin , Holiday Survival Week"
December 24,Regis Philbin & Kelly Ripa,"LIVE 's Holiday Celebration , Brad Pitt , Disney On Ice"
