Date,Pos,Player,Age,Moving to,Fee,Source
30 June 2016,MF,Mario Gargiulo,20,Lucchese,Loan,[ 6 ]
30 June 2016,DF,Davide Savi,20,Renate,Loan,[ 7 ]
30 June 2016,DF,Matteo Solini,23,Arezzo,Loan,[ 8 ]
30 June 2016,FW,Arthur Yamga,20,Arezzo,Loan,[ 9 ]
4 July 2016,DF,Marco Calderoni,27,Novara,Loan,[ 10 ]
5 July 2016,MF,Tomasz Kupisz,26,Novara,Loan,[ 11 ]
8 July 2016,FW,Radoslav Kirilov,24,Beroe,Loan,[ 12 ]
8 July 2016,GK,Ivan Provedel,22,Pro Vercelli,Loan,[ 13 ]
12 July 2016,FW,Massimiliano Gatto,20,Pisa,Loan,[ 14 ]
12 July 2016,MF,Malick Mbaye,20,Carpi,Loan,[ 15 ]
22 July 2016,GK,Matteo Brunelli,21,Messina,Loan,[ 16 ]
22 July 2016,FW,Mehdi Léris,18,Juventus,Loan,[ 17 ]
22 July 2016,DF,Raffaele Pucino,25,Vicenza,Loan,[ 18 ]
