US,CAN,Single,Artist
6,4,After Closing Time,David Houston and Barbara Mandrell
6,2,All I Have to Do Is Dream,Bobbie Gentry and Glen Campbell
9,12,All My Hard Times,Roy Drusky
16,-,Amos Moses,Jerry Reed
34,11,Angel of the Morning,Connie Eaton
4,21,Angels Do n't Lie,Jim Reeves
12,-,Another Lonely Night,Jean Shepard
23,9,Big Mama 's Medicine Show,Buddy Alan
27,18,Big Wheel Cannonball,Dick Curless
10,19,Biloxi,Kenny Price
10,2,Carmella,Marty Robbins
29,3,Carolina in My Mind,George Hamilton IV
16,10,Charlie Brown,The Compton Brothers
8,14,Commercial Affection,Mel Tillis
7,16,Country Girl,Jeannie C. Riley
19,-,Cowboy Convention,Buddy Alan and Don Rich
7,12,Daddy Was an Old Time Preacher Man,Porter Wagoner and Dolly Parton
20,-,Do It to Someone You Love,Norro Wilson
13,-,Do n't Cry Daddy,Elvis Presley
17,31,Do n't Take All Your Loving,Don Gibson
