City,Country,Name,Start of construction,Planned opening
Dhaka,Bangladesh,Dhaka Metro,2016,2021
Jinhua,China,Jinhua Metro [ zh ],2016,2020
Luoyang,China,Luoyang Metro,2016,2020
Nantong,China,Nantong Metro,2017,2022
Shaoxing,China,Shaoxing Metro,2017,2021
Taiyuan,China,Taiyuan Metro,2013,2020
Wuhu,China,Wuhu Metro,2017,2020
Quito,Ecuador,Quito Metro,2012,2020
Thessaloniki,Greece,Thessaloniki Metro,2006,2020
Bhopal,India,Bhopal Metro,2018,2024
Indore,India,Indore Metro,2018,2024
Kanpur,India,Kanpur Metro,2019,2024
Navi Mumbai,India,Navi Mumbai Metro,2011,April 2020
Pune,India,Pune Metro,2017,2021
Ahvaz,Iran,Ahvaz Metro,2004,?
Karaj,Iran,Karaj Metro [ fa ],2006,2020
Kermanshah,Iran,Kermanshah Metro [ fa ],2011,2022
Qom,Iran,Qom Metro,2009,2020
Abidjan,Ivory Coast,Abidjan Metro,2017,2022/2023
Lagos,Nigeria,Lagos Rail Mass Transit,2009,2022
