Rank,Name,Age,Country,Worth ( USD ),Residence
1,Robert Budi Hartono,78,Indonesia,18.6 Billion,Indonesia
2,Michael Hartono,79,Indonesia,18.5 billion,Indonesia
3,Dhanin Chearavanont & Family,80,Thailand,15.2 billion,Thailand
4,Charoen Sirivadhanabhakdi,75,Thailand,14.5 billion,Thailand
5,Robert Kuok,95,Malaysia,12.8 billion,Hong Kong
6,Robert Ng & Philip Ng,-,Singapore,12.0 billion,Singapore
7,Quek Leng Chan,77,Malaysia,9.4 billion,Malaysia
8,Sri Prakash Lohia,66,Indonesia,7.3 billion,Indonesia
9,Goh Cheng Liang,92,Singapore,7.3 billion,Singapore
10,Zhang Yong,49,Singapore,6.8 billion,Singapore
11,Teh Hong Piow,89,Malaysia,6.7 billion,Malaysia
12,Phạm Nhật Vượng,50,Vietnam,6.6 billion,Vietnam
13,Ananda Krishnan,81,Malaysia,6.2 billion,Malaysia
14,Wee Cho Yaw,90,Singapore,6.1 billion,Singapore
15,Aiyawatt Srivaddhanaprabha,34,Thailand,5.9 billion,Thailand
16,Kwee brothers,-,Singapore,5.6 billion,Singapore
17,Manuel Villar,69,Philippines,5.5 billion,Philippines
18,Lee Shin Cheng,80,Malaysia,5.4 billion,Malaysia
19,John Gokongwei,92,Philippines,5.1 billion,Philippines
20,Chen Lip Keong,72,Malaysia,5.0 billion,Malaysia
