Rank,Name,Circulation,Publisher
1,ADAC Motorwelt,"13,643,161",ADAC
2,tv14,"2,426,694",Bauer
3,Metallzeitung,"2,208,709",IG Metall
4,ver.di Publik,"1,912,104",ver.di
5,TV Digital,"1,775,422",Axel Springer
6,House and More ( Bausparkasse Schwäbisch Hall ),"1,625,110",Verlagsgruppe Handelsblatt
7,VdK-Zeitung,"1,395,948",Sozialverband VdK Deutschland
8,TV-Movie,"1,367,567",Bauer
9,Hörzu,"1,336,713",Axel Springer
10,TV Direkt,"1,178,964",Gong Verlag
11,TV Spielfilm,"1,165,985",Hubert Burda Media
12,auf einen Blick,"1,139,022",Bauer
13,ASB Magazin,"988,060",Arbeiter-Samariter-Bund Deutschland
14,Bild der Frau,"956,178",Axel Springer
15,Der Spiegel,"951,656",SPIEGEL-Verlag
16,Freizeit Revue,"907,371",Hubert Burda Media
17,Stern,"851,745",Gruner + Jahr
18,Landlust,"828,652",Landwirtschaftsverlag Munster
19,TV-Hören und Sehen,"791,235",Bauer
20,Der Vermögensberater,"740,106",Deutsche Vermögensberatung
