No,Position,Player,Nation
1,Goalkeeper,Jesse González ( HG ),United States
2,Defender,Reggie Cannon ( HG ),United States
3,Defender,Reto Ziegler,Switzerland
4,Defender,Bressan,Brazil
5,Midfielder,Thiago Santos,Brazil
7,Forward,Jesús Ferreira ( HG ),United States
8,Midfielder,Bryan Acosta ( DP ),Honduras
9,Forward,Fafà Picault,United States
11,Midfielder,Santiago Mosquera ( DP ),Colombia
12,Midfielder,Ryan Hollingshead,United States
13,Forward,Zdeněk Ondrášek,Czech Republic
16,Forward,Ricardo Pepi ( HG ),United States
17,Forward,Francis Atuahene ( GA ),Ghana
18,Midfielder,Brandon Servania ( HG ),United States
19,Midfielder,Paxton Pomykal ( HG ),United States
20,Goalkeeper,Jimmy Maurer,United States
21,Midfielder,Michael Barrios,Colombia
22,Forward,Ema Twumasi ( GA ),Ghana
23,Midfielder,Thomas Roberts ( HG ),United States
24,Defender,Matt Hedges,United States
