Year,Artist,Album,Label,Shipments ( Sales ),Certification
1987,Guns N ' Roses,Appetite for Destruction,Geffen,"18,000,000",18× Platinum
1997,Shania Twain,Come On Over,Mercury Nashville,"( 17,690,000 )",20× Platinum
1974,Elton John,Greatest Hits,Polydor,"17,000,000",17× Platinum
1976,Boston,Boston,Epic Records,"17,000,000",17× Platinum
1990,Garth Brooks,No Fences,Capitol Nashville,"17,000,000",17× Platinum
1991,Metallica,Metallica,Elektra,"( 16,830,000 )",16× Platinum
1977,Soundtrack / Bee Gees,Saturday Night Fever,RSO,"16,000,000",16× Platinum
1995,Alanis Morissette,Jagged Little Pill,Maverick,"( 15,350,000 )",16× Platinum
1973,Pink Floyd,The Dark Side of the Moon,Harvest / Capitol,"15,000,000",15× Platinum
1984,Bob Marley & The Wailers,Legend,Island,"15,000,000",15× Platinum
1984,Bruce Springsteen,Born in the U.S.A,Columbia,"15,000,000",15× Platinum
1988,Journey,Greatest Hits,Columbia,"15,000,000",15× Platinum
