Call letters,Channel,Network ( s ),City and state
KQCA,46 PSIP 58,58.1 MyNetworkTV 46.2 This TV,"Stockton , California"
KQCD-TV,7 PSIP 7,7.1 NBC 7.2 Fox 7.3 MeTV,"Dickinson , North Dakota"
KQCK,11 PSIP 33,MundoFox,"Cheyenne , Wyoming"
KQCW-DT,20 PSIP 19,The CW,"Tulsa , Oklahoma"
KQDS-TV,17 PSIP 21,Fox,"Duluth , Minnesota"
KQED,30 PSIP 9,PBS,"San Francisco , California"
KQEH,50 PSIP 54,54.1 PBS 54.2 KQED 54.3 KQED Life 54.4 KQED Kids 54.5 V-me,"San Jose , California"
KQET,25 PSIP 25,PBS,"Watsonville , California"
KQIN,34 PSIP 36,PBS,"Davenport , Iowa"
KQME,10 PSIP 11,ABC,"Lead , South Dakota"
KQSD-TV,11 PSIP 11,PBS,"Lowry , South Dakota"
KQSL,8 PSIP 8,Independent,"Fort Bragg , California"
KQTV,7 PSIP/cable 2,ABC,"Saint Joseph , Missouri"
KQUP,24 PSIP 24,Daystar,"Pullman , Washington"
