Year,Champion,Score,Defeated,Venue
1982,Cal Poly Pomona,93-74,Tuskegee,"Springfield , Massachusetts ( Springfield Civic Center )"
1983,Virginia Union,73-60,Cal Poly Pomona,"Springfield , Massachusetts ( Springfield Civic Center )"
1984,Central Missouri State,80-73,Virginia Union,"Springfield , Massachusetts ( Springfield Civic Center )"
1985,Cal Poly Pomona,80-69,Central Missouri State,"Springfield , Massachusetts ( Springfield Civic Center )"
1986,Cal Poly Pomona,70-63,North Dakota State,"Springfield , Massachusetts ( Springfield Civic Center )"
1987,New Haven,77-75,Cal Poly Pomona,"Springfield , Massachusetts ( Springfield Civic Center )"
1988,Hampton,65-48,West Texas State,"Fargo , North Dakota ( Bison Sports Arena )"
1989,Delta State,88-58,Cal Poly Pomona,"Cleveland , Mississippi ( Walter Sillers Coliseum )"
1990,Delta State,77-43,Bentley,"Pomona , California ( Kellogg Gymnasium )"
1991,North Dakota State,81-74,Southeast Missouri State,"Cape Girardeau , Missouri ( Show Me Center )"
1992,Delta State,65-63,North Dakota State,"Fargo , North Dakota ( Bison Sports Arena )"
1993,North Dakota State,95-63,Delta State,"Waltham , Massachusetts ( Dana Athletic Center )"
1994,North Dakota State,89-56,Cal State San Bernardino,"Fargo , North Dakota ( Bison Sports Arena )"
1995,North Dakota State,98-85,Portland State,"Fargo , North Dakota ( Bison Sports Arena )"
1996,North Dakota State,104-78,Shippensburg,"Fargo , North Dakota ( Bison Sports Arena )"
1997,North Dakota,94-78,Southern Indiana,"Grand Forks , North Dakota ( Hyslop Sports Center )"
1998,North Dakota,92-76,Emporia State,"Pine Bluff , Arkansas ( H.O . Clemmons Arena )"
1999,North Dakota,80-63,Arkansas Tech,"Pine Bluff , Arkansas ( H.O . Clemmons Arena )"
2000,Northern Kentucky,71-62 ( OT ),North Dakota State,"Pine Bluff , Arkansas ( H.O . Clemmons Arena )"
2001,Cal Poly Pomona,87-80 ( OT ),North Dakota,"Rochester , Minnesota ( Mayo Civic Center )"
