Latin title,Original title,Original author,Translator,Publisher,Date
Haegar terribilis . Miles sine timore vitiisque,Hägar the Horrible,"Browne , Dik","Ulrichs , Karl",München : Goldmann,1986
Asterix # 1 : Asterix Gallus,Astérix le Gaulois,"Goscinny , René","Molina , J",Murica : Molina,1968
Asterix # 1 : Asterix Gallus,Astérix le Gaulois,"Goscinny , René","Rubricastellanus , Carolus",Amsterdam/Brussels : Elsevier,1973
Asterix # 2 : Asterix et Falx Aurea,La serpe d'or,"Goscinny , René","Molina , J",Murica : Molina,1968
Asterix # 2 : Aurea Falx,La serpe d'or,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1975
Asterix # 3 : Asterix apud Gothos,Astérix et les Goths,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1976
Asterix # 4 : Asterix Gladiator,Astérix gladiateur,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1977
Asterix # 5 : Iter Gallicum,Le tour de Gaule d'Astérix,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1978
Asterix # 6 : Asterix et Cleopatra,Astérix et Cléopatre,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1980
Asterix # 7 : Certamen principum,Le combat des chefs,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1981
Asterix # 8 : Asterix apud Brittanos,Astérix chez les Bretons,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1982
Asterix # 9 : Asterix et Normanni,Astérix et les Normands,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1983
Asterix # 10 : Asterix Legionarius,Astérix légionnaire,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1984
Asterix # 11 : Clipeus Arvernus,Le bouclier Arverne,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1985
Asterix # 12 : Asterix Olympius,Astérix aus Jeux Olympiques,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1985
Asterix # 13 : Asterix atque olla Cypria,Astérix et le chaudron,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1986
Asterix # 14 : Asterix in Hispania,Astérix en Hispanie,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1987
Asterix # 15 : Tumultus de Asterige,La zizanie,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,1989
Asterix # 16 : Asterix apud Helvetios,Astérix chez les Helvètes,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,2005
Asterix # 21 : Laurea Caesaris,Les lauriers de César,"Goscinny , René","Rubricastellanus , Carolus",Stuttgart : Ehapa,2015
