County,Operator,Route
Cornwall,First South West,300 300 : Penzance - Newlyn - Land 's End - St Just - St Ives - Marazion - Penzance
Cumbria,Stagecoach Cumbria & North Lancashire,078 78 : Keswick - Borrowdale - Seatoller
Cumbria,Stagecoach Cumbria & North Lancashire,508 508 : Penrith - Ullswater
Cumbria,Stagecoach Cumbria & North Lancashire,599 599 : Bowness - Windermere - Ambleside - Grasmere
Devon,Stagecoach Devon,122 122 : Babbacombe - Paignton Zoo
Devon,Stagecoach Devon,095 95 : Exmouth - Sandy Bay
Devon,Dart Pleasure Craft,100 100 : Paignton - Totnes
Dorset,Wilts & Dorset,050 50 Purbeck Breezer : Bournemouth - Poole - Swanage via Sandbanks chain ferry
Dorset,First Hampshire & Dorset,050 501 Weymouth - Portland Bill
East Sussex,Brighton & Hove,077 77 : Brighton Pier - Devil 's Dyke 78 : Brighton Old Steine - Stanmer Park 79 : Brighton Old Steine - Ditchling Beacon
Isle of Wight,Southern Vectis,Downs Breezer : Ryde - Wootton railway station - The Downs - Ryde Needles Breezer : Yarmouth - The Needles Sandown Bay Breezer : Shanklin - Sandown - Isle of Wight Zoo
Lincolnshire,Stagecoach Lincolnshire,020 3 : Skegness - Fantasy Island - Anchor Lane
North Yorkshire,East Yorkshire Motor Services,108 108 : Scarborough - Bowls Centre 109 : Scarborough North Bay - Spa
North Yorkshire,Shorelineline Suncruisers,109 109 : Scarborough North Bay - South Bay
Somerset,First West of England,020 1 : Weston-super-Mare - Grand Pier - Sand Bay 20 : Weston-super-Mare - Brean - Burnham-on-Sea
Wales,Arriva Buses Wales,001 1 : Llandudno - Conwy
Wales,First Cymru,001 1 : Swansea City Centre - Limeslade Bay
