Team,Home city,Arena,Capacity
Arcos Albacete Basket,Albacete,Pabellón del Parque,"1,200"
Barça B,Sant Joan Despí,Ciutat Esportiva Joan Gamper,472
Basket Navarra,Pamplona,Arrosadia,"1,500"
Bàsquet Girona,Girona,Fontajau,"5,500"
Bodegas Rioja Vega,Logroño,Palacio de los Deportes,"4,500"
CAT & REST Intragas-Clima CDP,Ponferrada,Pabellón Lydia Valentín,"2,500"
CB Benicarló,Benicarló,Pavelló Poliesportiu Municipal,"2,000"
CB Marbella,Marbella,Carlos Cabezas,
CB Morón,Morón de la Frontera,Alameda,600
CB Prat,El Prat de Llobregat,Pavelló Joan Busquets,500
CB Villarrobledo,Villarrobledo,Los Pintores,
Círculo Gijón,Gijón,Palacio de Deportes,"5,197"
Enerdrink UDEA Algeciras,Algeciras,Pabellón Ciudad de Algeciras,"2,300"
Gran Canaria B,Las Palmas,Centro Insular de Deportes,"5,200"
Hestia Menorca,Mahón,Pavelló Menorca,"5,115"
Igualitorio Cantabria Estela,Santander,Palacio de Deportes,"6,000"
Ilerdauto Nissan Pardinyes Lleida,Lleida,Pavelló Barris Nord,"6,100"
Innova Chef,Zamora,Ángel Nieto,"2,200"
JAFEP Fundación Globalcaja La Roda,La Roda,Juan José Lozano Jareño,500
Juaristi ISB,Azpeitia,Municipal,"1,000"
