Order,Contestant,Song ( original artist if applicable ),Result
1,Alex Rosado,Momentos ( Noel Schajris ),Safe
2,Alpha Berríos,Daría ( La 5ª Estación ),Safe
3,Génesis Ramírez,Que te pedí ( La Lupe ),Safe
4,Abimelec Torres,Te llamé ( Cristian Castro ),Safe
5,Kelly Romero,Dos eternidades ( Ednita Nazario ),Safe
6,Roberto Escobar,"Fuego de noche , Nieve de día ( Ricky Martin )",Safe
7,Juan Carlos Avilés,"Desnúdate , mujer ( David Bisbal )",Safe
8,Celimar López,Ahora soy mala ( Olga Tañon ),Eliminated
9,Michael Rivera,Perdóname ( Luis Fonsi ),Bottom 3
10,Fabiola Ramos,Buenos amigos ( Selena ),Safe
11,Gremal Maldonado,Simplemente amigos ( Ana Gabriel ),Bottom 3
