Rank,Mountain Peak,Municipality and ( Barrio ),Elevation
1,Cerro de Punta,Ponce ( Anón ),"4,357 ft ( 1,328 m )"
2,Monte Jayuya,Jayuya ( Saliente ),"4,252 ft ( 1,296 m )"
3,Cerro Rosa,Ciales ( Toro Negro ) & Jayuya ( Saliente ),"4,144 ft ( 1,263 m )"
4,Piedra Blanca,Jayuya ( Veguitas ),"4,042 ft ( 1,232 m )"
5,Cerro Maravilla,Ponce ( Anón ),"3,960 ft ( 1,207 m )"
6,Monte Guilarte,Adjuntas ( Guilarte ),"3,934 ft ( 1,199 m )"
7,Los Tres Picachos,Ciales and Jayuya ( Coabey ),"3,894 ft ( 1,187 m )"
8,Cerro Saliente,Jayuya ( Saliente ),"3,845 ft ( 1,172 m )"
9,Monte Membrillo,Yauco ( Río Prieto ),"3,579 ft ( 1,091 m )"
10,Cerro El Bolo,Villalba ( Villalba Arriba ),"3,527 ft ( 1,075 m )"
11,El Toro,Las Piedras ( El Río ) & Río Grande ( Guzmán Arriba ),"3,474 ft ( 1,059 m )"
12,Cerro Doña Juana,Orocovis ( Ala de la Piedra ),"3,471 ft ( 1,058 m )"
49,Cerro Las Tetas,Salinas ( Lapas ),"2,759 ft ( 841 m )"
