Venue,Sports,Capacity
Beihang University Gymnasium,Weightlifting,"5,400"
Beijing Institute of Technology Gymnasium,Volleyball,"5,000"
Beijing Shooting Range Clay Target Field,Shooting ( shotgun ),"5,000"
Capital Indoor Stadium,Volleyball ( final ),"18,000"
Fengtai Softball Field,Softball,"13,000"
Laoshan Mountain Bike Course,Cycling ( Mountain Bike ),"2,000"
Olympic Sports Centre,"Football , Modern Pentathlon ( riding , running )","36,228"
Olympic Sports Center Gymnasium,Handball,"7,000"
Workers Indoor Arena,Boxing,"13,000"
Workers Stadium,Football,"70,161"
Ying Tung Natatorium,"Water Polo , Modern Pentathlon ( swimming )","4,852"
