Medal,Name,Sport,Event,Date
Gold,Edith Hunkeler,Athletics,Women 's Marathon - T54,17th
Gold,Heinz Frei,Cycling,Men 's Individual Road Race - HC B,14th
Gold,Heinz Frei,Cycling,Men 's Individual Road Time Trial - HC B,12th
Silver,Beat Bösch,Athletics,Men 's 100 m - T52,13th
Silver,Beat Bösch,Athletics,Men 's 200 m - T52,10th
Bronze,Philippe Horner,Archery,Men 's Individual Compound - Open,13th
Bronze,Urs Kolly,Athletics,Men 's Pentathlon - P44,11th
Bronze,Sandra Graf,Athletics,Women 's Marathon - T54,17th
Bronze,Edith Hunkeler,Athletics,Women 's 1500 m - T54,16th
Bronze,Manuela Schar,Athletics,Women 's 200 m - T54,14th
Bronze,Pia Schmid,Athletics,Women 's 200 m - T52,11th
