Name of aircraft,Year in service,Country of origin
Bell YFM-1 Airacuda flying cruiser,1940,US
Blackburn Roc turret fighter,1939,UK
Blackburn Skua fighter/dive bomber,1938,UK
Boulton Paul Defiant turret fighter,1939,UK
Bristol Beaufighter,1940,UK
Bristol Blenheim night fighter,1937,UK
de Havilland Mosquito night fighter/fighter bomber,1941,UK
Dornier Do 215 night fighter,1939,Germany
Dornier Do 217 night fighter,1941,Germany
Dornier Do 335,1944,Germany
Douglas P-70 Havoc night fighter,1941,US
Fairey Firefly,1941,UK
Fairey Fulmar,1940,UK
Focke-Wulf Ta 154 night fighter,1944,Germany
Fokker G.I,1939,Netherlands
Grumman F7F Tigercat carrier night fighter,1944,US
Heinkel He 219 night fighter,1943,Germany
IMAM Ro.57,1943,Italy
Junkers Ju 88 night fighter,1940,Germany
Junkers Ju 388 night fighter,1944,Germany
