#,Date,Venue,Opponent,Score,Result,Competition
1,19 April 1997,Sharjah,Bahrain,4-1,Win,1998 FIFA World Cup qualification
2,24 September 1998,Doha,Libya,2-1,Win,1998 Arab Nations Cup
3,16 August 1999,Amman,Qatar,3-0,Win,1999 Pan Arab Games
4,6 April 2000,Doha,Pakistan,5-0,Win,2000 AFC Asian Cup qualification
5,2000,Limassol,Lebanon,1-1,Draw,Friendly
6,7 December 2002,Manama,Bahrain,3-0,Win,Friendly
7,12 November 2003,Beirut,Lebanon,2-0,Win,2004 AFC Asian Cup qualification
8,12 February 2004,Amman,Indonesia,2-1,Win,Friendly
9,8 November 2006,Riyadh,Saudi Arabia,2-1,Loss,Friendly
10,15 November 2006,Amman,Oman,3-0,Win,2007 AFC Asian Cup qualification
11,13 August 2008,Tehran,Qatar,3-0,Win,2008 West Asian Football Federation Championship
12,16 September 2010,Amman,Iraq,4-1,Win,Friendly
