Year,Original title,English title,Director
1990*,The Juniper Tree,The Juniper Tree,Nietzchka Keene
1990,Pappírspési,Pappírspési,Ari Kristinsson ( is )
1990,Ryð,Ryð,Lárus Ýmir Óskarsson
1991,Börn náttúrunnar,Children of Nature,Friðrik Þór Friðriksson
1991*,Hvíti víkingurinn,The White Viking,Hrafn Gunnlaugsson
1992,Ingaló,Ingaló,Ásdís Thoroddsen
1992,Karlakórinn Hekla,The Men 's Choir,Guðný Halldórsdóttir
1992,Sódóma Reykjavík,Remote Control,Óskar Jónasson
1992,Svo á jörðu sem á himni,As in Heaven,Kristín Jóhannesdóttir
1992,Veggfóður,Wallpaper,Júlíus Kemp
1992,Ævintýri á Norðurslóðum,Ævintýri á Norðurslóðum,Marius Olsen Katrin Ottarsdóttir Kristín Pálsdóttir
1993,Hin helgu vé,The Sacred Mound,Hrafn Gunnlaugsson
1993,Stuttur Frakki,Behind Schedule,Gísli Snær Erlingsson
1994,Bíódagar,Movie Days,Friðrik Þór Friðriksson
1994,Skýjahöllin,Sky Palace,Þorsteinn Jónsson ( is )
1995,Cold Fever,Cold Fever,Friðrik Þór Friðriksson
1995,Agnes,Agnes,Egill Eðvarðsson
1995,Ein stór fjölskylda,One Family,Jóhann Sigmarsson
1995,Einkalíf,Einkalíf,Þráinn Bertelsson
1995,Nei er ekkert svar,No Is No Answer,Jón Tryggvason
