Name,Area,Type,Summary
APEX Museum,Sweet Auburn,African American,Contributions of African Americans to the United States and the world
Atlanta Contemporary Art Center,West Midtown,Art,"Local , national , and international contemporary art ; education geared toward working artists and collectors of art"
Atlanta History Center,Buckhead,History,History of Atlanta and Georgia ; includes the Centennial Olympic Games Museum and one of the nation 's most complete Civil War exhibitions
Atlanta Monetary Museum,Midtown Atlanta,Numismatic,"History of money , banking in America , and the Federal Reserve , operated by the Federal Reserve Bank of Atlanta"
Booth Western Art Museum,Cartersville,Art,The worlds largest permanent exhibition space for Western art
The Breman Museum,Midtown Atlanta,Jewish,"Jewish history , with special emphasis on Georgia and the Holocaust"
Callanwolde Fine Arts Center,Druid Hills,Art,"Community arts center , gallery hosts one-person and occasional group exhibitions by emerging local artists in varied media"
Center for Puppetry Arts,Midtown Atlanta,Puppetry,Puppets from various time periods and countries around the world
Children 's Museum of Atlanta,Luckie Marietta,Children 's,Formerly known as Imagine It ! The Children 's Museum of Atlanta
Clark Atlanta University Art Museum,West End,Art,African American art
College Football Hall of Fame,Luckie Marietta,Sports,Honors collegiate athletes from around the country
David J. Sencer CDC Museum,Druid Hills,Medical,"Public health issues , operated by the Centers for Disease Control and Prevention"
Delta Flight Museum,Hapeville,Aviation,"Aircraft , aviation , and history of Delta Air Lines"
Dignity Museum,College Park,Homelessness,"Homelessness , Poverty , Justice"
Fernbank Museum of Natural History,Druid Hills,Natural history,Natural history and the development of the planet
Fernbank Science Center,Druid Hills,Science,"Planetarium , telescope , and Fernbank Forest , a 65-acre ( 260,000 m ) natural forest"
Ferst Center for the Arts,Midtown Atlanta,Art,Contemporary art and photography
Georgia Capitol Museum,South Downtown,History,Collections representing the natural and cultural history of Georgia
Georgia Governor 's Mansion,Buckhead,Historic house,Mid 20th century official home of the state 's governors
Hammonds House Museum,West End,African American,"African American fine art , culture of the African diaspora ; located in a historic Queen Anne-style house"
