Team,Location,Stadium,Capacity
Roi Et United,Roi Et,Roi Et Province Stadium,"3,066"
Loei City,Loei,Loei Province Stadium,?
Yasothon United,Yasothon,Yasothon Province Stadium,"3,245"
Surin,Surin,Sri Narong Stadium,"3,200"
Kalasin,Kalasin,Kalasin Province Stadium,"5,000"
Nakhon Phanom,Nakhon Phanom,Nakhon Phanom Provincial Stadium,"4,477"
Sakon Nakhon,Sakon Nakhon,Sakon Nakhon City municipality Stadium,"3,449"
Udon Thani,Udon Thani,Institute of Physical Education Udon Thani Stadium,"4,705"
Nong Khai FT,Nong Khai,Nong Khai Province Stadium,"4,500"
Ubon Rachathani,Ubon Rachathani,Ubon Rachathani Sports School Stadium,"2,945"
Mashare Chaiyaphum,Chaiyaphum,Chaiyaphum Province Stadium,"1,957"
Mahasarakham United,Mahasarakham,Mahasarakham Rajabhat University Stadium,"3,171"
Mukdahan City,Mukdahan,Mukdahan Province Stadium,"5,000"
Nong Bua Lamphu,Nong Bua Lamphu,Nong Bua Lamphu Province Stadium,"6,053"
Sisaket United,Sisaket,Sri Nakhon Lamduan Stadium,"9,000"
Amnat Charoen Town,Amnat Charoen,Amnat Charoen municipal Stadium,"2,500"
