Year,Player,High School,College
1993,Chauncey Billups,George Washington,Colorado
1994,Chauncey Billups,George Washington,Colorado
1995,Chauncey Billups,George Washington,Colorado
1996,Chris Crosby,Chatfield,Washington State
1997,Tom Starkey,Green Mountain,"New Mexico , transferred to Denver"
1998,Nick Mohr,Columbine,Colorado
1999,Brian Greene,Horizon,Colorado State
2000,Blair Wilson,Westminster,Colorado
2001,Patrick Simpson,George Washington,SMU
2002,Franklin Ryk,Rocky Mountain,Colorado School of Mines
2003,Nick Fazekas,Ralston Valley,Nevada
2004,Sean Ogirri,Denver East,"Wichita State , transferred to Wyoming"
2005,Andrew Brown,Heritage,Lafayette College
2006,Matt Bouldin,ThunderRidge,Gonzaga
2007,Levi Knutson,Arapahoe,Colorado
2008,Reggie Jackson,Palmer,Boston College
2009,Bud Thomas,Regis Jesuit,Mercer
2010,Bud Thomas,Regis Jesuit,Mercer
2011,Riley Grabau,Boulder,Wyoming
2012,Josh Scott,Lewis-Palmer,Colorado
