Year,Song,Movie,Composer,Language
1970,Jogan Pritam Ki,Devi,Laxmikant Pyarelal,Hindi
1971,Hare Rama Hare Krishna,Hare Rama Hare Krishna,R D Burman,Hindi
1974,I am in love,Kanyakumari,M B Sreenivasan,Malayalam
1974,Love Is Just Around The Corner,Chattakkari,G. Devarajan,Malayalam
1975,Love is beautiful,Melnaattu Marumagal,Kunnakudi Vaidyanathan,Tamil
1977,Peethambara,Siva Thandavum,M B Sreenivasan,Malayalam
1978,Ek Do Cha Cha Cha,Shalimar,R D Burman,Hindi
1978,Where there is,Randu Penkuttikal,M S Vishwanathan,Malayalam
1980,Hari Om Hari,Pyaara Dushman,Bappi Lahiri,Hindi
1980,Doston Se Pyar Kiya,Shaan,R D Burman,Hindi
1980,Shaan Se,Shaan,R D Burman,Hindi
1981,Ramba,Armaan,Bappi Lahiri,Hindi
1981,Tu Mujhe Jaan Se Bhi Pyara Hai,Wardat,Bappi Lahiri,Hindi
1982,Koi Yahan Aha Nache Nache,Disco Dancer,Bappi Lahiri,Hindi
1984,Oh my darling,Oru Sumangaliyude Kadha,Herself,Malayalam
1988,Sidhartha,Sidhartha,Shyam,Malayalam
1990,Naaka Bandi,Naaka Bandi,Bappi Lahiri,Hindi
1991,Uri Uri Baba,Dushman Devta,Bappi Lahiri,Hindi
1991,Vegam Vegam Pogum Pogum,Anjali,Ilaiyaraaja,Tamil
1991,Keechurallu,Keechurallu,Ilaiyaraaja,Telugu
