Date,Men 's winner,Country,Time ( h : m : s )
"April 14 , 2019",Nic Ihlow,Germany,2:24:49
"April 22 , 2018",Gabriel Svajda,Slovakia,2:35:23
"April 9 , 2017",Bartosz Olszewski,Poland,2:27:08
"April 24 , 2016",Marc Werner,Germany,2:39:29
"April 19 , 2015",Teknelegne Abebe Tebelu,Ethiopia,2:21:53
"April 13 , 2014",Benedikt Heil,Germany,2:32:47
"April 21 , 2013",Jakob Stiller,Germany,2:29:31
"April 22 , 2012",Jakob Stiller,Germany,2:33:30
"April 17 , 2011",Jakob Stiller,Germany,2:27:59
"April 25 , 2010",Maksym Salii,Ukraine,2:36:06
"April 19 , 2009",Maksym Salii,Ukraine,2:31:14
"April 20 , 2008",Jörg Matthé,Germany,2:37:56
"April 22 , 2007",Marcel Matanin,Slovakia,2:26:21
"April 23 , 2006",Marcel Matanin,Slovakia,2:19:33
"April 17 , 2005",Julius Kiptum Rop,Kenya,2:16:22
"April 25 , 2004",Christopher Cheboiboch,Kenya,2:10:16 CR
"April 13 , 2003",Mykola Rudyk,Ukraine,2:17:50
"April 28 , 2002",Carsten Eich,Germany,2:13:47
"April 29 , 2001",Stephan Freigang,Germany,2:15:57
"April 16 , 2000",Stanislaw Cembrzynski,Poland,2:36:25
