ROSTER,#,POS,HT,WT,COLLEGE
Elmer Reyes,4,Forward,61 ',170,San Beda College
Joselito Guanio,6,Guard-Forward,61 ',215,University of the Philippines
Elmer Cabahug,9,Guard,511 ',165,University of the Visayas
Dindo Pumaren,10,Guard,59 ',170,De La Salle University
Hernani Demigillo,11,Center,65 ',202,San Sebastian College
Glenn Capacio,12,Guard-Forward,61 ',185,Far Eastern University
Kevin Ramas,14,Center-Forward,64 ',240,Mapua Institute of Technology
Joey Santamaria,15,Forward,63 ',200,De La Salle University
Alvin Patrimonio,16,Forward,63 ',215,Mapua Institute of Technology
Leoncio Tan,17,Guard,60 ',170,De La Salle University
Rodolfo Enterina,24,Guard,60 ',180,University of the Visayas
Jerry Codiñera,44,Center,65 ',245,University of the East
