Call sign,Network/system,Location,Meaning,Analog
CFEG,Independent,"Abbotsford , British Columbia",C hrist 's F ollowers E xtending G race,19
CFJC,Citytv affiliate,"Kamloops , British Columbia",N/A,4
CFRN-TV-6,CTV,"Edmonton , Alberta",C F R ice N ielsen,8
CFSO,Independent,"Cardston , Alberta",C oming F rom SO uthern Alberta,32
CFTK,CTV 2,"Terrace , British Columbia",C F T errace and K itimat,3
CHAT,Citytv affiliate,"Medicine Hat , Alberta",C Medicine HAT,6
CHBX,CTV,"Sault Ste . Marie , Ontario",N/A,2
CHCO,Independent,"St. Andrews , New Brunswick",CH arlotte CO unty,26
CHET,Independent,"Chetwynd , British Columbia",CHET wynd,55
CHEX-TV-2,Global,"Oshawa , Ontario",C H Peterborough EX aminer ( newspaper/founder/sister station ),22
CHMG,Independent,"Quebec City , Quebec",CH M a G,9
CHNE,Independent,"Cheticamp , Nova Scotia","CH éticamp , N ouvelle- É cosse",36
CHOB,Independent,"Maskwacis , Alberta",C HOB bema ( former name of community ),43
CHRO,CTV 2,"Pembroke , Ontario",CH Pemb RO ke,5
CHVC,Independent,"Valemount , British Columbia",CH V alemount C ommunity,7
CICC,CTV,"Yorkton , Saskatchewan",N/A,10
CICI,CTV,"Sudbury , Ontario",N/A,5
CIHC,Independent,"Hay River , Northwest Territories",C I ndependent H ay River C ommunity,5
CIMC,Independent,"Isle Madame , Nova Scotia",C anada I sle M adame C ommunity TV,10
CIPA,CTV,"Prince Albert , Saskatchewan",C I P rince A lbert,9
