Player,Years,Seasons & Teams
Sam Crawford,13,"1900-02 Cincinnati ; 1903-04 , 1906-08 , 1910 , 1912-15 Detroit"
Roger Connor,9,"1882 Troy ( NL ) ; 1883 , 1885-90 New York ( NL ) ; 1894 St. Louis ( NL )"
Dan Brouthers,7,1883-84 Buffalo ( NL ) ; 1886-87 Detroit ( NL ) ; 1891 Boston ( AA ) ; 1892 Brooklyn ; 1894 Baltimore ( NL )
Jake Beckley,7,1890 Pittsburgh ( PL ) ; 1891-95 Pittsburgh ; 1899 Cincinnati
Elmer Flick,7,1900-01 Philadelphia ( NL ) ; 1903-07 Cleveland
Honus Wagner,7,"1900 , 1902-03 , 1908 , 1911-12 , 1915 Pittsburgh"
Ty Cobb,7,"1908 , 1911-13 , 1917 , 1921-22 Detroit"
Paul Waner,7,"1926-30 , 1933-34 Pittsburgh"
Joe Kelley,6,"1893-96 , 1898 Baltimore ( NL ) ; 1900 Brooklyn"
Ed Delahanty,6,"1892-94 , 1896-97 , 1901 Philadelphia ( NL )"
Joe Jackson,6,"1911-13 Cleveland ; 1916-17 , 1920 Chicago ( AL )"
