Pick #,MLS team,Player,Position,Affiliation
19,Vancouver Whitecaps FC,Jeb Brovsky,Midfielder,University of Notre Dame
20,Seattle Sounders FC,* Michael Tetteh,Defender,UC Santa Barbara
21,Seattle Sounders FC,Leone Cruz,Defender,Southern Methodist University Austin Aztex U23
22,Portland Timbers,Chris Taylor,Defender,University of Tulsa
23,Philadelphia Union,Michael Farfan,Midfielder,University of North Carolina Ogden Outlaws
24,New England Revolution,Stephen McCarthy,Midfielder,University of North Carolina Carolina Dynamo
25,New York Red Bulls,John Rooney,Midfielder,Macclesfield Town
26,Toronto FC,Demitrius Omphroy,Defender,"University of California , Berkeley Bay Area Ambassadors"
27,Seattle Sounders FC,Servando Carrasco,Midfielder,"University of California , Berkeley"
28,Columbus Crew,Cole Grossman,Midfielder,Duke University Cary Clarets
29,Seattle Sounders FC,Bryan Meredith,Goalkeeper,Monmouth University Central Jersey Spartans
30,New York Red Bulls,Tyler Lassiter,Defender,North Carolina State University
31,D.C. United,Chris Korb,Defender,University of Akron Cleveland Internationals
32,Sporting Kansas City,J. T. Murray,Defender,University of Louisville Chicago Fire Premier
33,San Jose Earthquakes,Anthony Ampaipitakwong,Midfielder,University of Akron Bradenton Academics
34,Los Angeles Galaxy,Héctor Jiménez,Midfielder,"University of California , Berkeley Bay Area Ambassadors"
35,FC Dallas,Charlie Campbell,Midfielder,University of Louisville
36,Colorado Rapids,Colin Givens,Defender,Michigan State University Michigan Bucks
