Elector,Place of birth,Cardinalatial title,Elevated,Elevator,Notes
"Henri de Marsiac , O.Cist","Château de Marcy , France",Bishop of Albano,March 1179,Aleksander III,Declined the election to the papacy
Paolo Scolari,Rome,Bishop of Palestrina,"September 21 , 1179",Alexander III,Archpriest of the patriarchal Liberian Basilica ; future Pope Clement III ( 1187-1191 )
"Thibaud , O.S.B.Cluny",France,Bishop of Ostia e Velletri,1184,Lucius III,
"Alberto di Morra , Can.Reg.Praem",Benevento,Priest of S. Lorenzo in Lucina and Chancellor of the Holy Roman Church,"December 21 , 1156",Adrian IV,Protopriest ; elected Pope Gregory VIII
"Pietro de Bono , C.R.S.M.R",Rome,Priest of S. Susanna,"March 18 , 1166",Alexander III,
Laborante de Panormo,Pontormo,Priest of S. Maria in Trastevere,"September 21 , 1173",Alexander III,
"Melior le Maitre , O.S.B.Vall",Pisa,Priest of SS . Giovanni e Paolo,"March 16 , 1185",Lucius III,Camerlengo of the Holy Roman Church
Adelardo Cattaneo,Verona,Priest of S. Marcello,"March 16 , 1185",Lucius III,Future bishop of Verona ( 1188-1214 )
Giacinto Bobone Orsini,Rome,Deacon of S. Maria in Cosmedin,"December 22 , 1144",Lucius II,Protodeacon ; future Pope Celestine III ( 1191-1198 )
Graziano da Pisa,Pisa,Deacon of SS . Cosma e Damiano,"March 4 , 1178",Alexander III,
Ottaviano di Paoli,Rome,Deacon of SS . Sergio e Bacco,"December 18 , 1182",Lucius III,Future bishop of Ostia e Velletri ( 1189-1206 )
Pietro Diana,Piacenza,Deacon of S. Nicola in Carcere,"March 16 , 1185",Lucius III,
Radulf Nigellus,probably France,Deacon of S. Giorgio in Velabro,"March 16 , 1185",Lucius III,
