Season,Event type,Location,Format,Date,Rank
1997-98,Pro Tour,Chicago,Extended,10-12 October 1997,3
1997-98,Grand Prix,Rio de Janeiro,Extended,"31 January-February 1 , 1998",1
1997-98,Pro Tour,New York,Limited,17-19 April 1998,1
1997-98,Grand Prix,Zurich,Limited,30-31 May 1998,6
1997-98,Nationals,Colombus,Special,3-5 July 1998,3
1997-98,Worlds,Seattle,Special,12-16 August 1998,3
1997-98,Worlds,Seattle,National team,12-16 August 1998,1
1998-99,Grand Prix,Boston,Standard,5-6 September 1998,1
1998-99,Pro Tour,Chicago,Limited,25-27 September 1998,5
1998-99,Invitational,Barcelona,Special,4-7 February 1999,4
1998-99,Pro Tour,Los Angeles,Limited,26-28 February 1999,2
1998-99,Grand Prix,Vienna,Extended,13-14 March 1999,3
1998-99,Grand Prix,Kansas City,Extended,27-28 March 1999,5
1999-00,Pro Tour,Washington D.C,Team Limited,3-5 September 1999,3
1999-00,Invitational,Kuala Lumpur,Special,2-5 March 2000,2
1999-00,Grand Prix,St. Louis,Team Limited,13-14 May 2000,1
1999-00,Nationals,Orlando,Special,8-11 June 2000,1
1999-00,Grand Prix,Pittsburgh,Team Limited,24-25 June 2000,3
1999-00,Worlds,Brussels,Special,2-6 August 2000,1
1999-00,Worlds,Brussels,National team,2-6 August 2000,1
