No,Pos,Player,,,
1,GK,Tim Melia,0,0,0
24,GK,Kyle Reynish,0,0,0
18,GK,Nick Rimando,0,0,0
2,DF,Tony Beltran,0,0,0
5,DF,Nat Borchers,0,0,1
30,DF,Rauwshan McKenzie,0,0,0
4,DF,Jámison Olave,1,0,0
3,DF,Robbie Russell,0,0,0
28,DF,Chris Schuler,0,0,0
17,DF,Chris Wingert,0,0,0
13,MF,Jean Alexandre,0,0,0
10,MF,Arturo Alvarez,0,0,0
5,MF,Kyle Beckerman,1,0,0
21,MF,Luis Gil,0,0,0
22,MF,Nelson González,0,0,0
20,MF,Ned Grabavoy,0,0,0
11,MF,Javier Morales,1,0,0
26,MF,Collen Warner,0,0,0
77,MF,Andy Williams,0,0,0
23,FW,Paulo Araujo Jr,0,0,0
