Year,Actor,International title,Original title,Transliterated title ( per BGN/PCGN standard )
2002,Viktor Bychkov #,The Cuckoo,Кукушка,Kukushka
2002,Aleksei Petrenko,( unknown ),Коллекционер,Kollektsioner
2002,Aleksey Chadov,War,Война,Voina
2003,Yevgeny Mironov #,The Idiot,Идиот,Idiot
2003,Sergey Bezrukov,Brigada,Бригада,Brigada
2003,Viktor Sukhorukov,"Poor , Poor Pavel",Бедный бедный Павел,Bedny bedny Pavel
2004,Sergei Garmash #,Our Own,Свои,Svoi
2004,Vladimir Mashkov,Daddy,Папа,Papa
2004,Bohdan Stupka,Our Own,Свои,Svoi
2005,Nikita Mikhalkov #,The State Counsellor,Статский советник,Statskiy sovetnik
2005,Yevgeny Mironov,Dreaming of Space,Космос как предчуствие,Kosmos kak predchustvie
2005,Mikhail Porechenkov,The 9th Company,9 рота,9 rota
2006,Pyotr Mamonov #,The Island,Остров,Ostrov
2006,Aleksandr Baluev,( unknown ),Игра слов : Переводчица олигарха,Igra slov : Perevodchitsa oligarkha
2006,Yevgeni Tsyganov,Piter FM,Питер FM,Piter FM
2007,"Nikita Mikhalkov , Sergei Makovetsky , Sergei Garmash , Aleksei Petrenko , Valentin Gaft , Yuri Stoyanov , Mikhail Yefremov , Sergei Gazarov , Viktor Verzhbitsky , Alexey Gorbunov , Roman Madyanov , Sergei Artsibashev #",12,12,12
2007,Viktor Sukhorukov,( unknown ),Агитбригада « Бей врага ! »,Agitbrigada Bey vraga !
2007,Fedor Bondarchuk,( unknown ),Тиски,Tiski
2008,Konstantin Khabensky #,Admiral,Адмиралъ,Admiral
2008,Oleg Dolin,Wild Field,Дикое поле,Dikoe pole
