Country,Network ( s ),Series premiere,Timeslot
Canada,Bravo,"October 9 , 2013",Wednesday 22.00
United Kingdom,More4,"March 21 , 2013",Thursday 23.00
Italy,Rai Tre,"October 4 , 2012",Thursday 21.05
Norway,VOX,"September 16 , 2012",Sunday 22.10
Australia,SoHo,"July 4 , 2012",Wednesday 21.30
Sweden,SVT2,"November 16 , 2012",Friday 22.15
Spain,Canal+ 1,"December 8 , 2012",Saturday 21.30
India,Star World,"January 30 , 2013",Saturday 09.30
Indonesia,HBO,"January 2 , 2013",Monday 22.00
Ireland,TG4,"January 2 , 2013",Monday 23.00
Germany,FOX,"March 18 , 2013",Monday 20.15
Belgium,Canvas,"April 7 , 2014",Monday 23.05
Jamaica,CVM TV,"October 23 , 2014",Thursday 21.00
Mexico,Fox,"October 10 , 2014",Tuesday 21:00
Greece,NERIT,"October 27 , 2014","Monday , Tuesday 23.00"
Portugal,SIC Radical,"February , 2017",Tuesday - Friday 23.50
