Medal,Name,Sport,Event,Date
Gold,Anna-Carin Ahlquist,Table tennis,Women 's singles class 3,3 September
Gold,Maja Reichard,Swimming,Women 's 100 m breaststroke SB11,3 September
Gold,Jonas Jacobsson,Shooting,Men 's 50 m rifle 3 positions SH1,5 September
Gold,Stefan Olsson Peter Vikström,Wheelchair tennis,Men 's doubles,7 September
Silver,Jonas Jacobsson,Shooting,Men 's 10 m air rifle standing SH1,31 August
Silver,Anders Olsson,Swimming,Men 's 400 m freestyle S6,1 September
Silver,Jeffrey Ige,Athletics,Men 's shot put F20,7 September
Silver,Anna-Carin Ahlquist Ingela Lundbäck,Table tennis,Women 's team C4-5,8 September
Bronze,Josefin Abrahamsson,Table tennis,Women 's singles class 8,2 September
Bronze,Ingela Lundbäck,Table tennis,Women 's singles class 5,2 September
Bronze,Emil Andersson,Table tennis,Men 's singles class 8,3 September
Bronze,Sweden women 's national goalball team Viktoria Andersson Anna Dahlberg Malin Gustavsson Josefin Jälmestål Sofia Naesström Maria Wåglund,Goalball,Women 's,7 September
