Date,Athlete,Country,Time
23 May 1981,John Graham,United Kingdom,2:09:28
22 May 1982,Rodolfo Gómez,Mexico,2:11:57
9 April 1983,Robert de Castella,Australia,2:08:37
14 April 1984,Gidamis Shahanga,Tanzania,2:11:12
20 April 1985,Carlos Lopes,Portugal,2:07:12
19 April 1986,Abebe Mekonnen,Ethiopia,2:09:09
18 April 1987,Belayneh Dinsamo,Ethiopia,2:12:58
17 April 1988,Belayneh Dinsamo,Ethiopia,2:06:50
16 April 1989,Belayneh Dinsamo,Ethiopia,2:08:39
22 April 1990,Hiromi Taniguchi,Japan,2:10:56
21 April 1991,Robert de Castella,Australia,2:09:42
5 April 1992,Salvador García,Mexico,2:09:16
18 April 1993,Dionicio Cerón,Mexico,2:11:06
17 April 1994,Vincent Rousseau,Belgium,2:07:51
23 April 1995,Martín Fiz,Spain,2:08:57
28 April 1996,Belayneh Dinsamo,Ethiopia,2:10:30
20 April 1997,Domingos Castro,Portugal,2:07:51
19 April 1998,Fabián Roncero,Spain,2:07:26
18 April 1999,Japhet Kosgei,Kenya,2:07:09
16 April 2000,Kenneth Cheruiyot,Kenya,2:08:22
