Team,Qualified as,Qualified on,Previous appearances in tournament
Austria,Co-host,12 December 2002,0 ( debut )
Switzerland,Co-host,12 December 2002,"2 ( 1996 , 2004 )"
Germany,Group D runner-up,13 October 2007,"9 ( 1972 , 1976 , 1980 , 1984 , 1988 , 1992 , 1996 , 2000 , 2004 )"
Greece,Group C winner,17 October 2007,"2 ( 1980 , 2004 )"
Czech Republic,Group D winner,17 October 2007,"6 ( 1960 , 1976 , 1980 , 1996 , 2000 , 2004 )"
Romania,Group G winner,17 October 2007,"3 ( 1984 , 1996 , 2000 )"
Poland,Group A winner,17 November 2007,0 ( debut )
Italy,Group B winner,17 November 2007,"6 ( 1968 , 1980 , 1988 , 1996 , 2000 , 2004 )"
France,Group B runner-up,17 November 2007,"6 ( 1960 , 1984 , 1992 , 1996 , 2000 , 2004 )"
Croatia,Group E winner,17 November 2007,"2 ( 1996 , 2004 )"
Spain,Group F winner,17 November 2007,"7 ( 1964 , 1980 , 1984 , 1988 , 1996 , 2000 , 2004 )"
Netherlands,Group G runner-up,17 November 2007,"7 ( 1976 , 1980 , 1988 , 1992 , 1996 , 2000 , 2004 )"
Portugal,Group A runner-up,21 November 2007,"4 ( 1984 , 1996 , 2000 , 2004 )"
Turkey,Group C runner-up,21 November 2007,"2 ( 1996 , 2000 )"
Russia,Group E runner-up,21 November 2007,"8 ( 1960 , 1964 , 1968 , 1972 , 1988 , 1992 , 1996 , 2004 )"
Sweden,Group F runner-up,21 November 2007,"3 ( 1992 , 2000 , 2004 )"
