Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Monzavous Edwards,United States,Sprinting,2004,Cannabis,Public warning
Mark Edwards,Great Britain,,,"Clostebol , Testosterone",
Paul Edwards,Great Britain,Shot put,1993 1997,"Anabolic steroids , raised testosterone and pseudoephedrine Tetrahydrocannabinol",4 years Life ban
Torri Edwards,United States,Sprinting,2004,Nikethamide,15 months ( Reduced from 2 years )
Daniel Effiong,Nigeria,Sprinting,1995,Methyltestosterone and ephedrine,4 years
Inna Eftimova,Bulgaria,Sprinting,2011 { Retested 2012 ),Recombinant Human Growth hormone,2 years
Florence Ekpo-Umoh,Germany,Sprinting,2003,Stanozolol,2 years
Christy Ekpukhon,Nigeria,Sprinting,2008,Metenolone,2 years
Abderrahim El Asri,Morocco,Cross country running,2014,EPO,2 years
Wafa Ismail El Baghdadi,Egypt,Shot put,2007,Methandienone,2 years
Hayat El Ghazi,Morocco,Hammer throw,2006,Norandrosterone,2 years
Mohamed El Hachimi,Morocco,Long distance,2012 2014,Methylhexaneamine CERA,6 months 6 years
Fouad Elkaam ( Fouad El Kaam ),Morocco,Middle distance,2011,Methylhexaneamine,6 months
Saïda El Mehdi,Morocco,Middle distance,2009,Stanozolol,2 years
Rkia El Moukim,Morocco,Long distance,2011,Biological passport,2 years
Najim El Qady,Morocco,Long distance,2011,Biological passport,2 years
Stanislav Emelyanov,Russia,Race walking,2010,Biological passport,2 years
Alene Emere,Ethiopia,Long distance,2002,Nandrolone,2 years
Ivan Emilianov,Moldova,Shot put,2011,"Metenolone , Stanozolol",2 years
Meryem Erdogan,Turkey,Long distance,2010,Biological passport,2 years
