No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Carlos Slim & family,$ 69.0 billion,72,Mexico,"América Móvil , Grupo Carso"
2,Bill Gates,$ 61.0 billion,56,United States,Microsoft
3,Warren Buffett,$ 44.0 billion,81,United States,Berkshire Hathaway
4,Bernard Arnault,$ 41.0 billion,63,France,LVMH Moët Hennessy • Louis Vuitton
5,Amancio Ortega,$ 37.5 billion,75,Spain,Inditex Group
6,Larry Ellison,$ 36.0 billion,67,United States,Oracle Corporation
7,Eike Batista,$ 30.0 billion,55,Brazil,EBX Group
8,Stefan Persson,$ 26.0 billion,64,Sweden,H & M
9,Li Ka-shing,$ 25.5 billion,83,Hong Kong,Cheung Kong Holdings
10,Karl Albrecht,$ 25.4 billion,92,Germany,Aldi
