Medal,Name,Sport,Event
Gold,Supriati Sutono,Athletics,Women 's 5000m
Gold,Tony Gunawan Hendrawan Taufik Hidayat Tri Kusharjanto Rexy Mainaky Budi Santoso Ricky Subagja Candra Wijaya,Badminton,Men 's Team
Gold,Ricky Subagja Rexy Mainaky,Badminton,Men 's Doubles
Gold,Arif Taufan Syamsudin,Karate,Men 's Kumite −60 kg
Gold,Oka Sulaksana,Sailing,Men 's Mistral
Gold,Yayuk Basuki,Tennis,Women 's Singles
Silver,Hendrawan,Badminton,Men 's Singles
Silver,Eliza Nathanael Deyana Lomban,Badminton,Women 's Doubles
Silver,Agus Salim Irilkhun Shofana,Beach volleyball,Men
Silver,Hermensen Ballo,Boxing,Men 's −51kg
Silver,Willem Papilaya,Boxing,Men 's −63.5 kg
Silver,Absir Laode Hadi Lampada Sayadin,Canoeing,Men 's K4 - 1000m
Silver,Sandra Aryani,Karate,Women 's Kumite −53 kg
Silver,Omita Olga Ompi,Karate,Women 's Individual Kata
Silver,Lasmin,Rowing,Men 's Single Sculls
Silver,Satrio Rahadani,Taekwondo,Men 's FlyWeight
Bronze,Mia Audina Carmelita Cindana Hartono Indarti Isolina Deyana Lomban Meiluawati Eliza Nathanael Minarti Timur,Badminton,Women 's Team
Bronze,Tri Kusharjanto Minarti Timur,Badminton,Mixed Doubles
Bronze,Anjas Menasmara Iwan Sumoyo,Beach volleyball,Men
Bronze,Abdullah Kadir,Karate,Men 's Individual Kata
