Position,Player,Age,Loaned to,Start,End
DF,Li Jianbin,23,Shanghai Shenhua,20 November 2012,31 December 2013
DF,Paulão,26,Cruzeiro,6 January 2013,31 December 2013
DF,Li Weixin,19,Meixian Hakka,9 January 2013,31 December 2013
MF,Zhang Xingbo,18,Meixian Hakka,9 January 2013,31 December 2013
MF,Wang Rui,19,Meixian Hakka,9 January 2013,31 December 2013
MF,Renato Cajá,28,Vitória,15 January 2013,31 December 2013
DF,Tu Dongxu,21,Meizhou Kejia,January 2013,31 December 2013
MF,Peng Shaoxiong,23,Meizhou Kejia,January 2013,31 December 2013
DF,Zhang Yujia,22,Meizhou Kejia,January 2013,31 December 2013
FW,Cléo,26,Kashiwa Reysol,25 January 2013,1 January 2014
GK,Dong Chunyu,21,Shenyang Shenbei,29 January 2013,31 December 2014
MF,Gao Zhilin,22,Meizhou Kejia,28 February 2013,31 December 2013
FW,Ye Weichao,24,Meizhou Kejia,30 June 2013,31 December 2013
DF,Gong Liangxuan,20,Chengdu Blades,9 July 2013,31 December 2013
MF,Peng Xinli,21,Chengdu Blades,11 July 2013,31 December 2013
