Copyright Owner,Artist,Recording Title,Album Title
Sony BMG Music Entertainment,Incubus,New Skin,Science
Warner Bros. Records,Green Day,Minority,Warning
Arista Records,Outkast,Wheelz of Steel,Atliens
Sony BMG Music Entertainment,Incubus,Pardon Me,Make Yourself
UMG Recordings,Nirvana,Come As You Are,Nevermind
Warner Bros. Records,Green Day,When I Come Around,Dookie
Warner Bros. Records,Green Day,Nice Guys Finish Last,Nimrod
UMG Recordings,Nirvana,Heart Shaped Box,In Utero
UMG Recordings,Nine Inch Nails,The Perfect Drug,The Perfect Drug ( EP )
UMG Recordings,Blink-182,Adam 's Song,Enema of the State
UMG Recordings,Limp Bizkit,Rearranged,Significant Other
UMG Recordings,Limp Bizkit,Leech,"Three Dollar Bill , Y'all $"
Warner Bros. Records,Linkin Park,Crawling,Hybrid Theory
Warner Bros. Records,Deftones,Be Quiet And Drive,Around The Fur
Sony BMG Music Entertainment,The Fugees,Killing Me Softly,The Score
Warner Bros. Records,Red Hot Chili Peppers,Californication,Californication
Warner Bros. Records,Red Hot Chili Peppers,By The Way,By The Way
Warner Bros. Records,Red Hot Chili Peppers,My Friends,One Hot Minute
UMG Recordings,Beck,Loser,Mellow Gold
Virgin Records America,Smashing Pumpkins,Bullet With Butterfly Wings,Mellon Collie and The Infinite Sadness
