Title,Episode No,Season,Description
The Pardoner 's Tale,08,01,"An investigative reporter ( Matt Servitto ) and his fiancée are gunned-down outside their favorite restaurant , and the attack is linked to a fugitive money launderer ( Mark Zimmerman ) and an alleged cash-for- pardons scheme involving the Governor of New York . This episode was inspired by the controversy over President Bill Clinton 's pardon of fugitive financier Marc Rich"
Semi-Professional,15,01,"A law clerk working for a prominent judge ( Michael Murphy ) is found dead in her employer 's home , and the investigation leads to a contentious battle for an appellate court appointment"
Tuxedo Hill,22,01,"A high-powered executive ( Cindy Katz ) , found unconscious and amnesiac in her wrecked car , is first implicated in and then exonerated of her boyfriend 's murder , and detectives suspect she is being manipulated by corrupt officials at her own company . This episode was inspired by the fall of Enron"
Cold Comfort,39,02,"The daughter ( Maureen Mueller ) of a recently deceased U.S . Senator is murdered in a public restroom and the case leads detectives to a probate dispute , cryonics , and the family of a noted philanthropist ( Josef Sommer )"
Mis-Labeled,59,03,"A salesman ( Darren Goldstein ) for a major pharmaceutical company who sold synthetic blood in the Far East is strangled , chopped in half , and stuffed into his own luggage , and the investigation into his death uncovers a plot to cover up an even more nauseating act of corporate greed"
Proud Flesh,102,05,"The eldest son ( Alex Draper ) of a legendary media mogul ( Malcolm McDowell ) is the victim of what appears to be a latex fetish exercise gone wrong , and all evidence points towards his father 's much younger new wife ( Cindy Cheung ) . This episode was inspired by the family of Rupert Murdoch"
Wasichu,103,05,"A Secret Service agent ( Georgia Hatzis ) is murdered in her home , and the investigation zeroes in on her lobbyist husband ( David Alan Basche ) and the corrupt congressman ( Bruce McGill ) whose favor he was illegally courting . This episode was inspired by the Jack Abramoff scandal"
Albatross,124,06,"A prominent judge ( Daren Kelly ) is killed by sniper -fire while rehearsing a reenactment of the Burr-Hamilton duel with a notoriously corrupt businessman ( Xander Berkeley ) whose wife ( Donna Murphy ) is the leading candidate for Mayor of New York City , and detectives ca n't decide who was the real target . This episode was inspired by scandals related to Jeanine Pirro and her husband"
30,127,06,"A journalist ( Lee Tergesen ) , poisoned with slow-acting-but-deadly Polonium 210 , aids in his own murder investigation , which leads to a cover-up of circumstances related to the controversial death of a young American schoolteacher ( Anna Moore ) in Israel . This episode was inspired by the Alexander Litvinenko poisoning and the death of Rachel Corrie"
Smile,136,07,"A dentist ( Adam Heller ) is murdered in his office , exposing a plot between FDA officials and a major corporation to cover up the existence of counterfeit mouthwash containing antifreeze , but a whistleblower ( Amy Acker ) may have a sinister agenda of her own"
Untethered,142,07,"When his delinquent nephew ( Trevor Morgan ) tells him that inmates are being murdered in the psychiatric ward of a prison overseen by a sadistic warden ( Debra Monk ) , a detective ( Vincent D'Onofrio ) goes undercover without his superiors ' knowledge to investigate and gets a closer look at the truth than he bargained for"
Assassin,147,07,"A man is killed while attempting to assassinate an exiled Tamil politician ( Indira Varma ) , a highly paid European hitman ( Roberto Purvis ) is photographed entering the country and then disappears , and evidence indicates that someone within the target 's own inner circle is behind the plot . This episode was inspired by the assassination of Benazir Bhutto"
Playing Dead,156,08,"A drug addict ( Elan Moss-Bachrach ) is gunned down in his apartment by an assailant who spares the life of his girlfriend ( Betty Gilpin ) , the stepdaughter of a city councilman ( Scott Cohen ) whose ruthless mother ( Kathy Baker ) is maneuvering him toward Gracie Mansion"
