Name,Years,Nationality,Prominent roles
Austin Abrams,1996-,American,"The Walking Dead , Paper Towns , Euphoria , Scary Stories to Tell in the Dark"
Asher Angel,2002-,American,"Andi Mack , Shazam !"
Iris Apatow,2002-,American,"This Is 40 , Love"
Maude Apatow,1997-,American,"This Is 40 , Other People , Assassination Nation , Euphoria"
Ariela Barer,1998-,American,"One Day at a Time , Runaways"
Madison Beer,1999-,American,Louder Than Words
Sofia Black D'Elia,1991-,American,Skins
Jonah Bobo,1997-,American,Zathura
Cameron Boyce,1999-2019,American,"Jessie , Gamer 's Guide to Pretty Much Everything , Descendants"
Abigail Breslin,1996-,American,"Signs , Little Miss Sunshine , Zombieland"
Spencer Breslin,1992-,American,
Max Burkholder,1997-,American,Parenthood
Carly Chaikin,1990-,American,"Suburgatory , Mr . Robot"
Timothée Chalamet,1995-,American,"Homeland , Interstellar , Call Me by Your Name , Lady Bird"
Emory Cohen,1990-,American,"The Place Beyond the Pines , Brooklyn , The OA"
David Corenswet,1993-,American,The Politician
Flora Cross,1993-,American,Bee Season
Spencer Daniels,1992-,American,
Pete Davidson,1993-,American,Saturday Night Live
Zoey Deutch,1994-,American,Vampire Academy
