Year,1st runner-up,State Represented,Hometown,Age
1983,Tina Marrocco,Virginia,McLean,16
1984,Malia Yamamura,Hawaii,Honolulu,16
1985,Emily Ernst,Wyoming,Gillette,17
1986,Becky Pestana,Texas,San Antonio,17
1987,Peggy Blackwell,North Carolina,Fayetteville,17
1988,Jessica Collins,New York,Amsterdam,17
1989,Kristie Dawn Hicks,Kentucky,Bardstown,17
1990,Marla Johnson,Alaska,Anchorage,18
1991,Meredith Young,Georgia,Cairo,18
1992,Angela Logan,Oklahoma,Oklahoma City,18
1993,Kelly Lloyd,Indiana,Indianapolis,16
1994,Whitney Fuller,Georgia,Sautee Nacoochee,16
1995,Katie Aselton,Maine,Milbridge,16
1996,Patricia Campbell,Pennsylvania,Philadelphia,18
1997,Autumn Waterbury,Illinois,Marion,18
1998,Bridgett Jordan,Tennessee,Collierville,18
1999,Sarah Thornhill,Louisiana,Slidell,18
2000,Nicole O'Brian,Texas,Friendswood,17
2001,Gloria Almonte,New York,Bronx,18
2002,Jennifer Morgan,California,Alpine,17
