No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Carlos Slim & family,$ 73.0 billion,73,Mexico,"América Móvil , Grupo Carso"
2,Bill Gates,$ 67.0 billion,57,United States,Microsoft
3,Amancio Ortega,$ 57.0 billion,76,Spain,Inditex Group
4,Warren Buffett,$ 53.5 billion,82,United States,Berkshire Hathaway
5,Larry Ellison,$ 43.0 billion,68,United States,Oracle Corporation
6,Charles Koch,$ 34.0 billion,77,United States,Koch Industries
6,David Koch,$ 34.0 billion,72,United States,Koch Industries
8,Li Ka-shing,$ 31.0 billion,84,Hong Kong,Cheung Kong Holdings
9,Liliane Bettencourt & family,$ 30.0 billion,90,France,L'Oréal
10,Bernard Arnault,$ 29.0 billion,63,France,LVMH
