Teams,Stage,Date,Prediction,Result,Outcome
New Zealand vs Tonga,Pool stage,9 September,New Zealand,41-10,Correct
New Zealand vs Japan,Pool stage,16 September,New Zealand,83-7,Correct
New Zealand vs France,Pool stage,24 September,New Zealand,37-17,Correct
New Zealand vs Canada,Pool stage,2 October,New Zealand,79-15,Correct
Ireland vs Wales,Quarter-finals,8 October,Ireland,10-22,Incorrect
England vs France,Quarter-finals,8 October,England,12-19,Incorrect
South Africa vs Australia,Quarter-finals,9 October,South Africa,9-11,Incorrect
New Zealand vs Argentina,Quarter-finals,9 October,New Zealand,33-10,Correct
New Zealand vs Australia,Semifinals,16 October,New Zealand,20-6,Correct
New Zealand vs France,Final,23 October,New Zealand,8-7,Correct
