Team,Total,Opponent,Ground
Pakistan,338/5,Sri Lanka,"St. Helen 's Rugby and Cricket Ground , Swansea"
England,333/9,Sri Lanka,"County Ground , Taunton"
England,322/6,New Zealand,"The Oval , London"
Australia,320/9,India,"Trent Bridge , Nottingham"
Sri Lanka,288/9,Pakistan,"St. Helen 's Rugby and Cricket Ground , Swansea"
Sri Lanka,286,England,"County Ground , Taunton"
West Indies,282/9,India,"The Oval , London"
West Indies,276/3,Australia,"Lord 's , London"
Australia,273/6,West Indies,"Lord 's , London"
Australia,272/7,Zimbabwe,"County Cricket Ground , Southampton"
