Player,Team,Base price,Winning bid
Brendon McCullum,Kolkata Knight Riders,"$ 400,000","$ 900,000"
Ravindra Jadeja,Chennai Super Kings,"$ 100,000","$ 2,000,000"
Muttiah Muralitharan,Royal Challengers Bangalore,"$ 200,000","$ 220,000"
Mahela Jayawardene,Delhi Daredevils,"$ 300,000","$ 1,400,000"
Herschelle Gibbs,Mumbai Indians,"$ 50,000","$ 50,000"
Brad Hodge,Rajasthan Royals,"$ 200,000","$ 475,000"
Parthiv Patel,Deccan Chargers,"$ 200,000","$ 650,000"
Dinesh Chandimal,Rajasthan Royals,"$ 50,000","$ 50,000"
Andre Russell,Delhi Daredevils,"$ 50,000","$ 450,000"
Mitchell Johnson,Mumbai Indians,"$ 300,000","$ 300,000"
R. P. Singh,Mumbai Indians,"$ 200,000","$ 600,000"
Vinay Kumar,Royal Challengers Bangalore,"$ 100,000","$ 1,000,000"
Sreesanth,Rajasthan Royals,"$ 400,000","$ 400,000"
Ramesh Powar,Kings XI Punjab,"$ 100,000","$ 160,000"
Brad Hogg,Rajasthan Royals,"$ 100,000","$ 180,000"
Sunil Narine,Kolkata Knight Riders,"$ 50,000","$ 700,000"
Robin Peterson,Mumbai Indians,"$ 100,000","$ 100,000"
Daniel Harris,Deccan Chargers,"$ 50,000","$ 70,000"
Kevon Cooper,Rajasthan Royals,"$ 50,000","$ 50,000"
James Faulkner,Kings XI Punjab,"$ 100,000","$ 190,000"
