Team,Location,Arena,Capacity,Manager
Alta,Alta,Finnmarkshallen,"1,000",Rune Berger
Bodø/Glimt,Bodø,Aspmyra Stadion,"7,400",Cato André Hansen
Bryne,Bryne,Bryne Stadion,"10,000",Gaute Larsen
Bærum,Sandvika,Sandvika Stadion,"1,500",Morten Tandberg
HamKam,Hamar,Briskeby Arena,"10,200",Vegard Skogheim
Hødd,Ulsteinvik,Høddvoll Stadion,"3,120",Lars Arne Nilsen
Kongsvinger,Kongsvinger,Gjemselund Stadion,"5,202",Tom Nordlie
Mjøndalen,Mjøndalen,Nedre Eiker Stadion,"2,600",Vegard Hansen
Notodden,Notodden,Notodden Stadion,"3,000",Kenneth Dokken
Ranheim,Ranheim,DnB NOR Arena,"2,000",Aasmund Bjørkan
Sandefjord,Sandefjord,Komplett.no Arena,"9,000",Arne Sandstø
Sarpsborg 08,Sarpsborg,Sarpsborg Stadion,"5,000",Roar Johansen
IK Start,Kristiansand,Sør Arena,"14,300",Mons Ivar Mjelde
Strømmen,Strømmen,Strømmen Stadion,"3,000",Erland Johnsen
Tromsdalen,Tromsø,Tromsdalen Stadion,"3,000",Morten Pedersen
Ull/Kisa,Jessheim,UKI Arena,"3,000",Arne Erlandsen
