Year,Driver,Team,Car
1958,Jack Sears,Jack Sears,Austin 105 Westminster
1959,Jeff Uren,John Willment Automobiles,Ford Zephyr Six
1960,Doc Shepherd,Don Moore Racing,Austin A40
1961,Sir John Whitmore,BMC,Austin Mini Seven
1962,John Love,Vita Racing,Morris Mini Cooper Austin Mini Cooper
1963,Jack Sears,John Willment Automobiles,Ford Cortina GT Ford Galaxie Ford Cortina Lotus
1964,Jim Clark,Team Lotus,Lotus Cortina
1965,Roy Pierpoint,Alan Mann Racing,Ford Mustang
1966,John Fitzpatrick,Broadspeed,Ford Anglia
1967,Frank Gardner,Alan Mann Racing,Ford Falcon Sprint
1968,Frank Gardner,Alan Mann Racing,Ford Cortina Lotus Ford Escort TC
1969,Alec Poole,Equipe Arden,Austin Mini Cooper S 970
1970,Bill McGovern,George Bevan Racing,Sunbeam Imp Sport
1971,Bill McGovern,George Bevan Racing,Sunbeam Imp Sport
1972,Bill McGovern,George Bevan Racing,Sunbeam Imp Sport
1973,Frank Gardner,SCA European Road Services,Chevrolet Camaro
1974,Bernard Unett,Rootes Group,Hillman Avenger
1975,Andy Rouse,Broadspeed,Triumph Dolomite Sprint
1976,Bernard Unett,Chrysler Dealer Team,Chrysler Avenger GT
1977,Bernard Unett,Chrysler Dealer Team,Chrysler Avenger GT
