Team,Head coach,Years at school,Overall record,Record at school,CUSA record
Charlotte,Brad Lambert,4,12-22,12-22,0-8
FIU,Ron Turner,4,55-82,10-26,7-17
Florida Atlantic,Charlie Partridge,3,6-18,6-18,5-11
Louisiana Tech,Skip Holtz,4,110-88,22-17,16-8
Marshall,Doc Holliday,7,50-28,50-28,33-15
Middle Tennessee,Rick Stockstill,11,64-61,64-61,17-7
North Texas,Seth Littrell,1,0-0,0-0,0-0
Old Dominion,Bobby Wilder,8,57-27,57-27,7-9
Rice,David Bailiff,10,74-75,53-60,37-35
Southern Miss,Jay Hopson,1,32-17,0-0,0-0
UTEP,Sean Kugler,4,14-23,14-23,9-15
UTSA,Frank Wilson,1,0-0,0-0,0-0
Western Kentucky,Jeff Brohm,3,20-7,20-7,12-4
