Site Name,Parish,Area
Audubon State Historic Site,West Feliciana Parish,100 acres ( 40 ha )
Centenary State Historic Site,East Feliciana Parish,43 acres ( 17 ha )
Fort Jesup State Historic Site,Sabine Parish,21 acres ( 8.5 ha )
Fort Pike State Historic Site,Orleans Parish,22 acres ( 9 ha )
Fort St. Jean Baptiste State Historic Site,Natchitoches Parish,5 acres ( 2 ha )
Forts Randolph and Buhlow State Historic Site,Rapides Parish,103 acres ( 42 ha )
Locust Grove State Historic Site,West Feliciana Parish,1 acre ( .4 ha )
Longfellow-Evangeline State Historic Site,St. Martin Parish,157 acres ( 64 ha )
Los Adaes State Historic Site,Natchitoches Parish,14 acres ( 6 ha )
Mansfield State Historic Site,De Soto Parish,178 acres ( 72 ha )
Marksville State Historic Site,Avoyelles Parish,42 acres ( 17 ha )
Plaquemine Lock State Historic Site,Iberville Parish,14 acres ( 6 ha )
Port Hudson State Historic Site,East Feliciana Parish,900 acres ( 364 ha )
Poverty Point State Historic Site,West Carroll Parish,400 acres ( 162 ha )
Rebel State Historic Site,Natchitoches Parish,46 acres ( 19 ha )
Rosedown Plantation State Historic Site,West Feliciana Parish,371 acres ( 150 ha )
Winter Quarters State Historic Site,Tensas Parish,7 acres ( 2.8 ha )
